name,billing_id
A.F.P. MUTUAL WATER COMPANY,100030
AA PRODUCTION SERVICES,100036
ABA ENERGY CORPORATION,100041
ADAMS SPRINGS WATER DISTRICT,100052
AERA ENERGY LLC,100078
AERA ENERGY LLC - WATER,100092
AERA ENERGY LLC - OIL,100095
MCCLELLAN AIR FORCE BASE,100099
AGATE BAY WATER COMPANY,100105
AHTNA ENVIRONMENTAL INC.,100130
AHWAHNEE MAINTENANCE DISTRICT 46,100132
AIR FORCE REAL PROPERTY AGENCY - MATHER,100172
AIR PRODUCTS MANUFACTURING COMPANY,100211
AIRCRAFT SERVICES INTERNATIONAL INC.,100264
ALAMEDA COUNTY WATER DISTRICT,100422
ALAMO POWER DISTRICT #3,100435
ALCO WATER,100448
ALLENSWORTH COMMUNITY SERVICES DISTRICT,100481
ALLUVIAL/FANCHER WASTE WATER DIST #42,100501
ALAMEDA COUNTY FLOOD CONTROL ZONE 7,100528
ALAMO SEWER & WATER G.I.D.,100541
ALMONTE SANITARY DISTRICT,100554
ALON BAKERSFIELD PROPERTY INC.,100582
ALPAUGH COMMUNITY SERVICES DISTRICT,100595
ALPINEMEADOW CSA#13WTR,100608
ALPINE MEADOWS PROPERTY OWNERS ASSOC,100614
ALPINE NATURAL GAS,100621
ALPINE SPRINGS COUNTY WATER DISTRICT,100633
ALTO SANITARY DISTRICT,100791
AMADOR REGIONAL SANITARY AUTHORITY,100913
AMADOR WATER AGENCY,100925
AMEC FOSTER WHEELER,100936
AMERICAN PACIFIC CORPORATION,100947
AMERICAN VALLEY COMMUNITY SERVICES DISTR,100949
AMERICAN YEAST CORPORATION,100951
AMERICAN WATER SERVICES - EAST PALO ALTO,100955
AMERIGAS - SPARKS,100980
AMERIGAS - CONCORD 0125,100983
AMERIGAS - REDDING,100990
AMERIGAS - LAKEPORT,101007
AMERIGAS - HAWTHORNE/TONOPAH,101008
AMERIGAS - MAMMOTH LAKES,101009
AMERIGAS PROPANE,101011
AMERIGAS PROPANE - 0071,101012
AMERIGAS - SUSANVILLE,101013
ANACAPA OIL CORPORATION,101014
ANCHOR BREWING COMPANY,101015
AMERIGAS PROPANE - 1031,101018
AMERIGAS PROPANE - 5196,101020
AMERIGAS - CARSON CITY,101022
AMERIGAS - WALKER/BRIDGEPORT,101027
ANDEAVOR MARTINEZ REFINERY,101028
ANDERSON - COTTONWOOD IRRIGATION,101029
ANDERSON SPRINGS COMMUNITY SERVICES DIST,101037
"APTIM FEDERAL SERVICES, LLC",101038
ANTEA GROUP,101039
ANTELOPE VALLEY WATER STORAGE,101040
ARCHER OPERATIONS CALIFORNIA LLC,101041
ANTELOPE VALLEY - EAST KERN WATER,101042
ARMONA COMMUNITY SERVICES DISTRICT,101044
APPLE INC.,101045
ARBOR POINT - MOBILE HOME COMMUNITY,101047
ARMSTRONG PETROLEUM CORPORATION,101048
ARROYO SECO ESTATES MUTUAL WATER COMPANY,101050
ARIA RESORT AND CASINO,101051
AT&T TRANSMISSION - CALIFORNIA,101055
ARBUCKLE PUBLIC UTILITIES DISTRICT,101214
AROMAS WATER DISTRICT,102105
ARVIN COMMUNITY SERVICES DISTRICT,102110
ARVIN - EDISON WATER DISTRICT,102532
ASTER APARTMENTS,102637
AT&T TRANSMISSION - NEVADA,102743
ATASCADERO MUTUAL WATER COMPANY,102954
ATLANTIC OIL COMPANY,102958
AUBURN PUBLC CEMETERY,102961
AVILA BEACH COMMUNITY SERVICES DISTRICT,102963
"B-PVL1, LLC",102973
BAJA BROADBAND - MESQUITE,102979
BAKER WATER & SEWER GID,102983
"BAKMAN WATER COMPANY, INC",102989
BANK OF STOCKTON,102992
BANTA - CARBONA IRRIGATION DISTRICT,102993
BARTON HEALTH,102996
BASIC WATER COMPANY,102998
BASS LAKE HEIGHTS MUTUAL WATER COMPANY,102999
BASS LAKE WATER COMPANY,103000
BASS LAKE SERVICE AREA - 2,103002
BATTLE MOUNTAIN WATER & SEWER,103004
BAYSHORE SANI DIST,103113
BEAR VALLEY CSD,103120
BEAR VALLEY WATER DISTRICT,103126
BEATTY WATER & SANITATION DISTRICT,103139
BEDEL MUTUAL WATER COMPANY,103145
BEEHIVE BROADBAND,103152
BELLA VISTA WATER DISTRICT,103271
BELMONT MANOR CSA#14,103429
BELRIDGE WATER STORAGE DISTRICT,103456
BERRENDA MESA WATER,103587
BERRY PETROLEUM COMPANY,103601
BIG LAGOON COMMUNITY SERVICES DISTRICT,103612
BI-STATE PROPANE (HERITAGE PROPANE),103624
BI-STATE PROPANE,103629
BI-STATE PROPANE - PORTOLA,103635
BIG BEND WATER DISTRICT,103647
BIG ROCK COMMUNITY SERVICES DISTRICT,103648
BLACK RASCAL WATER COMPANY,103660
BLUE STAR GAS,103693
BLUE DIAMOND GROWERS,103700
BLUE DIAMOND WATER SYSTEM,103704
BLUE LAKE RANCHERIA DEP OF ENERGY & TECH,103705
BLUE LAKE SPRINGS WATER,103707
BODEGA BAY PUBLIC UTILITIES DEPARTMENT,103721
BOLINAS COM PUBLIC UTILITIES DEPARTMENT,103733
BORON COMMUNITY SERVICES DISTRICT,103746
BRIGHT HOUSE NETWORKS,103891
BRIGHT HOUSE NETWORKS,103964
BROADVIEW TERRACE MUTUAL WATER COMPANY,104033
BROADWAY PLAZA MACERICH,104048
BROWNS VALLEY IRRIGATION DISTRICT,104062
BUCKEYE TERMNALS LLC,104068
BUCKINGHAM PARK WATER DISTRICT,104075
BUENA VISTA ENERGY,104081
"BULLDOG GAS & POWER, LLC",104088
BUNKERVILLE IRRIGATION COMPANY,104101
BURNEY WATER DISTRICT,104115
BUTTE CREEK UTILITIES LLC,104128
BUTTE COUNTY OFFICE OF EDUCATION,104135
BUTTONWILLOW COUNTY WATER DISTRICT,104142
BWMR&M ASSOCIATION,104168
BYRON BETHANY IRRIGATION DISTRICT,104220
BYRON SANITARY DISTRICT,104352
CADENCE DESIGN SYSTEMS,104709
CAE USA - INC,104724
CALAVERAS COUNTY ROAD DEPARTMENT,104827
CALAVERAS COUNTY WATER DISTRICT,104906
CALAVERAS PUBLIC UTILITY DISTRICT,104959
CALAVERAS TELEPHONE COMPANY,105012
CALGREN DAIRY FUELS LLC,105038
CAL NEV PIPE LINE - NORTH,105064
CALIFORNIA BROADBAND COOPERATIVE,105400
CALIFORNIA BROADBAND COOPERATIVE - NV,105568
CA DEPT PRK/REC - COL. ALLENSWORTH ST HI,105736
CALIFORNIA DEPARTMENT WATER RES BAKERFLD,105749
CALIFORNIA STATE UNIVERSITY - SACRAMENTO,105856
CALIFORNIA AMERICAN WATER,105908
CALIFORNIA AMERICAN WATER SACRAMENTO 2,105945
CALIFORNIA COLLEGE OF THE ARTS,105954
CALIFORNIA DEPARTMENT TOXIC SUBS CTRL,105958
CALIFORNIA PINES COMM SVC DIST,105963
CALIFORNIA RESOURCES,105964
CALIFORNIA RES CORP,105965
"CALIF RESOURCES ELK HILLS, LLC",105966
CALIF. RES. PRODUCTION CORP. -  SAC VLY,105968
CALIFORNIA STATE UNIVERSITY MONTEREY BAY,105977
CALIF WTR SVC-ATHERTON,105982
CALIF WTR SVC-BAKERSFLD,105986
CALIF WTR SVC-CHICO,105990
CALIF WTR SVC DIXON,105992
CAL WTR LAKE ISABELLA,105995
CALIF WTR SVC-LIVERMORE,105998
CALIF WTR SVC-LOS ALTOS,106000
CALIF WTR SVC-MSV,106002
CALIF WTR SVC-OROVILLE,106004
CALIFORNIA WATER SERVICE CO - REDWOOD VA,106005
CALIF WTR SVC-KING CITY,106006
CALIF WTR SVC-SAN MATEO,106008
CALIF WTR SVC SELMA,106010
CALIF WTR SVC-STOCKTON,106022
CALIF WTR SVC-VISALIA,106024
CALIF WTR SVC WILLOWS,106028
CAL WTR QUARTZ HILL,106127
CALNEV P/L SN BRNDINO,106225
CALNEVA BROADBAND 2,106231
CALNEVA BROADBAND (NV),106234
CALIFORNIA-OREGON TELEPHONE CO.,106238
CALLAYOMI CO WTR DIST,106251
CALPELLA CO WTR DIST,106277
CALPINE CONST FINANCE CO L.P.-SUTTER ENE,106278
CALPINE-GEYSERS POWER CO,106279
CALPINE KING CITY COGENERATION,106304
CAMBRIA COM SVC DIST,106330
CAMP MEEKER R & P WTR,106343
CAMPORA PROPANE SVC,106356
CANADA WOODS WTR CO,106370
CANTUA CREEK CSA#32,106383
CANYON GEN IMP DIST,106396
CAPITOL OIL CORP,106436
CAREFREE MHP,106462
CARMEL AREA WASTEWTR,106488
CARMEL RIVIERA MUT WT,106514
CARMICHAEL WATER DIST,106541
CARSON CITY TRANSPORTATION,106752
CARUTHERS CSD,106804
CASA LOMA WTR CO INC,106857
CASPAR SOUTH SERVICES COMPANY,106870
CASTELLA CSA#3 WTR,106883
CASTLE AIRPORT AVIATION AND DEV. CENTER,106886
CASTLE ROCK COUNTY WATER DISTRICT,106891
CASTRO VALLEY SANITARY DISTRICT,106897
CASTROVILLE CSD,106936
CAWELO WTR DIST,106963
CAYUCOS BEACH MUTUAL WATER COMPANY,106989
CAYUCOS SANITARY DIST,107016
C C COMMUNICATIONS,107030
CEBRIDGE CONNECTIONS,107050
CEDAR FLAT IMP ASSN,107059
CENTERVILLE CSD,107069
CENTRACOM INTERACTIVE,107095
CENTRACOM INTERACTIVE 2,107108
CENTRAL COAST WATER,107122
CENTRAL SANITARY,107174
CENTRAL MARIN SANI,107260
CENTURYLINK,107281
"CENTRAL VALLEY GAS STORAGE, LLC",107287
CENTRAL WATER DIST,107289
CENTURY TEL OF THE GEM STATE-NEVADA,107544
CEPHEID,107608
"CH2M HILL CONSTRUCTORS, INC.",107672
CHARTER COMM2,107800
CHARTER COMM-CRES CTY,107811
CHARTER COMMUNICATIONS 2,107812
CHARTER COMM SLO,107814
CHARTER COMMUNICATIONS - ROSAMOND,107824
CHARTER COMM - TULARE,107834
CHARTER COMM - TURLOCK,107860
CHESTER PUD,108018
CHEVRON CYMRIC,108044
CHEVRON ENVIRONMENTAL MANAGEMENT COMPANY,108070
CHEVRON MIDWAY SUNSET,108096
"CHEVRON NORTH AMERICA, EXPLORATION & PRO",108123
CHEV NOR AMER & PRO COALINGA,108149
CHEVRON PIPE-L SAN JOAQUIN,108176
CHEVRON  COALINGA,108229
CHILDREN HOSPITAL CEN CA,108281
CHOWCHILLA WATER DIST,108334
CHRISTIAN VALLEY PARK CSD,108360
"CHUK CHANSI, SA-14",108379
CIRCLE OAKS CO WTR DIS,108546
CITRUS HEIGHTS WTR DIST,108828
CITY SAN FRANCISCO PW,109284
CITY SFO HEAT/PWR/LIGHT,109442
CITY SAN FRANCISCO WTR,109495
CITY SAN FRAN PRKG & TRF,109600
CITY ALAMEDA,109706
CITY OF ALBANY,109917
CITY OF ALTURAS,109944
CITY AMERICAN CANYON,109970
CITY ANDERSON,110023
CITY ANGELS CAMP,110128
CITY ANTIOCH,110339
CITY ARCATA,110550
CITY ARROYO GRANDE,110761
CITY OF ARVIN,110814
CITY OF ATASCADERO STREET & STORM DRN,110866
CITY ATWATER,110972
CITY AUBURN,111078
CITY AVENAL,111183
CITY BAKERSFIELD,111289
CITY BELMONT,111394
CITY BELVEDERE,111499
CITY BENICIA,111605
