code,billing_id,name,company,destination,facility_type
AFPMWC,100030,A.F.P. MUTUAL WATER CO.,1,jon-curry@sbcglobal.net,UNKN
AAPGAS,100036,AA PRODUCTION SERVICES,2,usa@aaproduction.com,UNKN
AAPGASM,100036,AA PRODUCTION SERVICES,2,usa@aaproduction.com,UNKN
ABAEN2,100041,ABA ENERGY CORPORATION 2,3,mmcdonald@abaenergy.com,G
ABAEN3,100041,ABA ENERGY CORPORATION 3,3,mmcdonald@abaenergy.com,G
ABAEN4,100041,ABA ENERGY CORPORATION 4,3,mmcdonald@abaenergy.com,G
ABAEN5,100041,ABA ENERGY CORPORATION 5,3,mmcdonald@abaenergy.com,G
ABAENE,100041,ABA ENERGY CORPORATION,3,mmcdonald@abaenergy.com,G
AERA02,100078,AERA ENERGY,5,dbts@consoft.net,G
AERA03,100078,AERA ENERGY,5,dbts@consoft.net,G
AERA04,100078,AERA ENERGY,5,dbts@consoft.net,G
AERA05,100078,AERA ENERGY,5,dbts@consoft.net,G
AERAWT,100092,"AERA ENERGY, LLC-WTR",6,dbts@consoft.net,W
AEROIL,100095,AERA ENERGY LLC OIL,7,dbts@consoft.net,P
MAFBCA,100099,MCCLELLAN AIR FORCE BASE,8,mafbca@webtms.usan.org,UNKN
ABAWTR,100105,AGATE BAY WATER CO.,9,agatebaywaterco@gmail.com,W
AHTENV,100130,AHTNA ENVIRONMENTAL INC.,10,mfisler@ahtna.net,UNKN
AHMD46,100132,"AHWAHNEE, MD-46",11,sdistricts@madera-county.com,UNKN
AFRPAM,100172,AIR FORCE REAL PROP,12,afrpam@webtms.usan.org,UNKN
AIRPRO,100211,AIR PRODUCTS NITROGN GAS,13,airpro@webtms.usan.org,UNKN
ASIGAS,100264,AIRCRAFT SERVICES INTERNATIONAL INC,14,usan.alert@asig.com,P
ACOWTR,100422,ALAMEDA COUNTY WATER DIST,15,acowtr@webtms.usan.org,W
ALPWRD,100435,ALAMO POWER DISTRICT #3,16,kenapd3@lcturbonet.com,UNKN
ALCWTR,100448,ALCO WATER,17,louatalcowater@gmail.com,UNKN
ALNCSD,100481,ALLENSWORTH CSD,18,allensworthcsd@sbcglobal.net,UNKN
AFAWWD,100501,ALLUVIAL/FANCHR WWD42,19,specialdistricts@co.fresno.ca.us,UNKN
ACOZO2,100528,ALAMEDA COUNTY FC & WCD ZN 7#2,20,floodcontrolusareports@zone7water.com,W
ACOZON,100528,ALAMEDA COUNTY FC&WCD ZONE 7,20,acozon@webtms.usan.org,UNKN
ASWGID,100541,ALAMO SEWER & WATER GID,21,aswgid@lcturbonet.com,UNKN
ALMSAN,100554,ALMONTE SANITARY DISTRICT,22,office@marin-rotorooter.com,S
ALBPRP,100582,ALON BAKERSFIELD PROPERTY,23,USAN.tickets@alonusa.com,O
ALPCSD,100595,ALPAUGH CSD,24,acsd@alpaughcsd.org,UNKN
AMEWTR,100608,ALPINE MEADOW CSA #13 WATER,25,shastacsas@att.net,UNKN
ALPPOA,100614,ALPINE MEADOWS PROPERTY OWNERS ASSOC,26,hlaBudde@yahoo.com,W
ALPGAS,100621,ALPINE NATURAL GAS,27,customerservice@alpinenaturalgas.com,UNKN
ALPINE,100633,ALPINE SPRINGS COUNTY WATER,28,miguel@alpinesprings.org,UNKN
ALTSAN,100791,ALTO SANITARY DIST,29,office@marin-rotorooter.com,UNKN
AMASAN,100913,AMADOR REGIONAL SANITARY AUTHORITY,30,gallen@cityofsuttercreek.org,S
AMAWTR,100925,AMADOR WATER AGENCY,31,usan_tickets@irth.com,UNKN
AMEC,100936,AMEC,32,jill.ghelerter@woodplc.com,UNKN
AMPACO,100947,AMERICAN PACIFIC CORPORATION,33,inbox@elmtickets.com,UNKN
AVLCSD,100949,AMERICAN VALLEY COMMUNITY SERVICES DISTR,34,Katie@americanvalleycsd.com,S
AYEAST,100951,AMERICAN YEAST CORPORATION,35,ayeast@webtms.usan.org,UNKN
AWSEPA,100955,AMERICAN WATER SERVICES EAST PALO ALTO,36,epa.usanorth@amwater.com,UNKN
AGSPAR,100980,AMERIGAS SPARKS,37,jesse.fromeyer@amerigas.com,G
AMECON,100983,AMERIGAS CONCORD 0125,38,margarita.casillas@amerigas.com,UNKN
AMERED,100990,AMERIGAS - REDDING,39,jay.davis@amerigas.com,UNKN
AMELAK,101007,AMERIGAS LAKEPORT,40,john.garcia@amerigas.com,G
AMEHAW,101008,AMERIGAS HAWTHORNE/TONOPAH,41,amerigas-tonopah@amerigas.com,G
AMEGAS,101009,AMERIGAS MAMMOTH LAKES,42,amerigas.company@verizon.net,G
AGASPL,101011,AMERIGAS PROPANE,43,Field-Amerigas-Service-0470@amerigas.com,UNKN
AMEPRO,101012,AMERIGAS PROPANE DIST 0071,44,jeff.gamache@amerigas.com,G
AMEGA2,101013,AMERIGAS SUSANVILLE,45,amerigas-5186@amerigas.com,UNKN
ANAOIL,101014,ANACAPA OIL CORPORATION,46,dosriosinc@yahoo.com,UNKN
ANCHOR,101015,ANCHOR BREWING CO.,47,djankowski@anchorsf.com,UNKN
AP1031,101018,AMERIGAS PROPANE 1031,48,Ap1031@webtms.usan.org,UNKN
AP5196,101020,AMERIGAS PROPANE 5196,49,5196_district_mailbox@amerigas.com,G
AMGCTY,101022,AMERIGAS CARSON CITY,50,charles.ransom@amerigas.com,UNKN
AMGWLK,101027,AMERIGAS-WALKER/BRIDGEPORT,51,charles.ransom@amerigas.com,UNKN
ANMARE,101028,ANDEAVOR MARTINEZ REFINERY,52,james.m.moore@tsocorp.com,UNKN
ANDIRR,101029,ANDERSON-COTTONWOOD IRRIGATION,53,info@andersoncottonwoodirrigationdistrict.org,I
ANSCSD,101037,ANDERSON SPRINGS CSD,54,andersonspringscsd@gmail.com,UNKN
APTFED,101038,"APTIM FEDERAL SERVICES, LLC",55,wayne.akiyama@cbifederalservices.com,UNKN
ANTEAG,101039,ANTEA GROUP,56,Lia.Holden@anteagroup.com,UNKN
ANTVAL,101040,ANTELOPE VALLEY WATER STORAGE,57,dubois@rosamondcsd.com,UNKN
ARCHOP,101041,"ARCHER OPERATIONS, CALIFORNIA, LLC",58,jwhowe@archer-longbow.com,UNKN
AVAWTR,101042,ANTELOPE VALLEY - EAST KERN WATER,59,digalert@avek.org,UNKN
ARMCSD,101044,ARMONA CSD,60,acsd@lemoorenet.com,UNKN
APPLEI,101045,APPLE INC.,61,red-it@group.apple.com,UNKN
ARPMHC,101047,ARBOR POINT - MOBILE HOME COMMUNITY,62,arborpoint@evans-management.com,UNKN
ARMPET,101048,ARMSTRONG PETROLEUM CORP,63,christy.rios@gmail.com,UNKN
ASEMWC,101050,ARROYO SECO ESTATES MUTUAL WATER CO.,64,fps@stanekadvisors.com,UNKN
ARIARC,101051,ARIA RESORT AND CASINO,65,jkarr@aria.com,UNKN
ATTCAL,101055,AT&T TRANSMISSION CALIFORNIA,66,rm-gfitkts@att.com,C
ARBPUD,101214,ARBUCKLE PUD,67,apud@frontiernet.net,UNKN
AROWTR,102105,AROMAS WATER DIST,68,aromasoperators@gmail.com,UNKN
ARVCOM,102110,ARVIN CSD,69,arvincsdusa@arvincsd.com,UNKN
ARVEDN,102532,ARVIN-EDISON WATER STORAGE DIST,70,arvedn@webtms.usan.org,UNKN
ASTAPT,102637,ASTER APARTMENTS,71,102637@webtms.usan.org,W
ATTNEV,102743,AT&T TRANSMISSION NEVADA,72,rm-gfitkts@att.com,UNKN
ATAWTR,102954,ATASCADERO MUTUAL WATER,73,usa@amwc.us,W
ATAWTRC,102954,ATASCADERO MUTUAL WATER,73,lhalderman@amwc.us,W
AOILCO,102958,ATLANTIC OIL COMPANY,74,westrada75@yahoo.com,UNKN
AUBCEM,102961,AUBURN PUBLC CEMETERY,75,aubcemetery@gmail.com,UNKN
AVICSD,102963,AVILA BEACH CSD,76,hagemann.associates@gmail.com,UNKN
BPVL1L,102973,"B-PVL1, LLC",77,bpvl1l@webtms.usan.org,UNKN
BAJMES,102979,BAJA BROADBAND - MESQUITE,78,inbox@elmtickets.com,UNKN
BWSGID,102983,BAKER WATER & SEWER GID,79,dondiy@icloud.com,UNKN
BAKWTR,102989,"BAKMAN WATER COMPANY, INC",80,usabakwtralerts@gmail.com,UNKN
BNKSTK,102992,BANK OF STOCKTON,81,itadmin@bankofstockton.com,UNKN
BCAIRR,102993,BANTA-CARBONA IRRIGATION DIST,82,bcidwm@yahoo.com,UNKN
BARTON,102996,BARTON HEALTH,83,barton@webtms.usan.org,UNKN
BAWACO,102998,BASIC WATER COMPANY,84,bwcmechanical@basicco.com,UNKN
BASSWT,102999,BASS LAKE HEIGHTS MUTUAL WATER CO.,85,judyjonc@yahoo.com,UNKN
BASWTR,103000,BASS LAKE WATER CO.,86,baswtr@webtms.usan.org,UNKN
BASSLA,103002,"BASS LAKE, SA-2",87,sdistricts@madera-county.com,UNKN
BMOCSD,103004,BATTLE MOUNTAIN WATER & SEWER,88,bmwatersewer@landercountynv.org,UNKN
BAYSAN,103113,BAYSHORE SANITARY DIST,89,BayshoreSanitary@aol.com,UNKN
BVACSD,103120,BEAR VALLEY CSD,90,wparks@bvcsd.org,UNKN
BVAWTR,103126,BEAR VALLEY WATER DIST,91,guy.west@bvwd.ca.gov,S
BEACSD,103139,BEATTY WATER & SANITATION DIST,92,waterdoctor5@sbcglobal.net,UNKN
BEDMWC,103145,BEDEL MUTUAL WATER COMPANY,93,bedelwater@gmail.com,UNKN
BEEBRO,103152,BEEHIVE BROADBAND,94,RUSSELL.DRAKE@BEEHIVE.NET,UNKN
BEEHIV,103152,BEEHIVE TELEPHONE,94,beehiv@webtms.usan.org,UNKN
BELWTR,103271,BELLA VISTA WATER DIST,95,belwtr@webtms.usan.org,UNKN
BMACSA,103429,BELMONT MANOR CSA#14,96,specialdistricts@co.fresno.ca.us,UNKN
BRIWTR,103456,BELRIDGE WTR STORAGE DIST,97,omello1@belridgewsd.com,UNKN
BERWTR,103587,BERRENDA MESA WATER,98,sbottoms@lhwd.org,UNKN
BERPET,103601,BERRY PETROLEUM CO.,99,kaw@bry.com,UNKN
BLACSD,103612,BIG LAGOON COMMUNITY SERVICES DISTRICT,100,BLACSD@webtms.usan.org,C
BIPROP,103629,BI-STATE PROPANE,102,charles.ransom@amerigas.com,UNKN
BISPOR,103635,BI-STATE PROPANE - PORTOLA,103,cassandra.williams@amerigas.com,UNKN
BBEWTR,103647,BIG BEND WATER DISTRICT,104,big_bend_outside@lvvwd.com,W
BIGCSD,103648,BIG ROCK CSD,105,wylieone2@gmail.com,UNKN
BRAWTR,103660,BLACK RASCAL WATER CO.,106,hammgang@att.net,UNKN
BSTARG,103693,BLUE STAR GAS,107,811digsNOTIFICATION@bluestargas.com,UNKN
BDIGRO,103700,BLUE DIAMOND GROWERS,108,cdurbin@bdgrowers.com,UNKN
BDIWTR,103704,BLUE DIAMOND WATER COOPERATIVE INC,109,ronnienewby@aol.com,UNKN
BLRDET,103705,BLUE LAKE RANCHERIA DEP OF ENERGY & TECH,110,BLRDET@webtms.usan.org,UNKN
BLUWTR,103707,BLUE LAKE SPRINGS WATER,111,davehicks@goldrush.com,UNKN
BBAPUD,103721,BODEGA BAY PUD,112,vwatts@bodegabaypud.com,S
BOLPUD,103733,BOLINAS COMMUNITY PUD,113,bcpud@bcpud.org,UNKN
BORCSD,103746,BORON CSD,114,boroncsd@yahoo.com,UNKN
BHNBFD,103891,BRIGHT HOUSE NETWORKS,115,emailtkts.nca1@qmanager.utiliquest.com,UNKN
BHNTEH,103964,BRIGHT HOUSE NETWORKS,116,emailtkts.nca1@qmanager.utiliquest.com,UNKN
BVTMWC,104033,BROADVIEW TERRACE MUTUAL WATER CO.,117,info@btmwater.com,UNKN
BROPMA,104048,BROADWAY PLZ MACERICH,118,bropma@webtms.usan.org,UNKN
BVAIRR,104062,BROWNS VALLEY IRRIGATION DISTRICT,119,kevin@bvid.org,I
BUCEYE,104068,BUCKEYE TERMNALS LLC,120,usan_tickets@irth.com,UNKN
BPAWTR,104075,BUCKINGHAM PARK WATER DIST,121,gm@buckinghamparkwater.us,UNKN
BVISEN,104081,BUENA VISTA ENERGY,122,dl-occ@leewardenergy.com,UNKN
BULPWR,104088,"BULLDOG GAS & POWER, LLC",123,bulpwr@webtms.usan.org,UNKN
BICNEV,104101,BUNKERVILLE IRRIGATION COMPANY,124,bri_joy@hotmail.com,UNKN
